690 files	Cell Line	Factor	UCSC Accession	Size	Additional Details
Download	A549	ATF3	wgEncodeEH002288	168 KB	lab=HudsonAlpha; view=Peaks; treatment=EtOH_0.02pct; antibody=ATF3; dataVersion=ENCODE Mar 2012 Freeze; controlId=SL6021; quality=good; tableName=wgEncodeAwgTfbsHaibA549Atf3V0422111Etoh02UniPk; md5sum=04b555c96fac6ff5cd3ade02be4c9b66;
Download	A549	BCL3	wgEncodeEH002303	176 KB	lab=HudsonAlpha; view=Peaks; treatment=EtOH_0.02pct; antibody=BCL3; dataVersion=ENCODE Mar 2012 Freeze; controlId=SL6021; quality=good; tableName=wgEncodeAwgTfbsHaibA549Bcl3V0422111Etoh02UniPk; md5sum=f600d31521fb4feda3b1618fe5d7f2f3;
Download	A549	BHLHE40	wgEncodeEH002817	80 KB	lab=Stanford; view=Peaks; treatment=None; antibody=BHLHE40; control=IgG-rab; dataVersion=ENCODE Mar 2012 Freeze; controlId=wgEncodeEH002819; quality=good; tableName=wgEncodeAwgTfbsSydhA549Bhlhe40IggrabUniPk; md5sum=c9abf6784d313e68d9330484c22a5611;
Download	A549	CEBPB	wgEncodeEH002818	833 KB	lab=Stanford; view=Peaks; treatment=None; antibody=CEBPB; control=IgG-rab; dataVersion=ENCODE Mar 2012 Freeze; controlId=wgEncodeEH002819; quality=good; tableName=wgEncodeAwgTfbsSydhA549CebpbIggrabUniPk; md5sum=d2f878bedb6a14b5e284b1125e7ce44e;
Download	A549	CREB1	wgEncodeEH002323	378 KB	lab=HudsonAlpha; view=Peaks; treatment=DEX_100nM; antibody=CREB1_(SC-240); dataVersion=ENCODE Mar 2012 Freeze; controlId=SL1668; quality=good; tableName=wgEncodeAwgTfbsHaibA549Creb1sc240V0416102Dex100nmUniPk; md5sum=4e04e30603901f81c80fb99c0394d11f;
Download	A549	CTCF	wgEncodeEH001507	859 KB	lab=HudsonAlpha; view=Peaks; treatment=DEX_100nM; antibody=CTCF_(SC-5916); dataVersion=ENCODE Mar 2012 Freeze; controlId=SL474; quality=good; tableName=wgEncodeAwgTfbsHaibA549Ctcfsc5916Pcr1xDex100nmUniPk; md5sum=05783cba2b9e43f63c562d73a2d8ff58;
Download	A549	CTCF	wgEncodeEH001508	806 KB	lab=HudsonAlpha; view=Peaks; treatment=EtOH_0.02pct; antibody=CTCF_(SC-5916); dataVersion=ENCODE Mar 2012 Freeze; controlId=SL475; quality=good; tableName=wgEncodeAwgTfbsHaibA549Ctcfsc5916Pcr1xEtoh02UniPk; md5sum=5efa4c3fffdfa7a071a2398e6b2291d7;
Download	A549	CTCF	wgEncodeEH001890	945 KB	lab=UW; view=Peaks; treatment=None; antibody=CTCF; control=std; dataVersion=ENCODE Mar 2012 Freeze; controlId=wgEncodeEH001904; quality=good; tableName=wgEncodeAwgTfbsUwA549CtcfUniPk; md5sum=255742c9ef3014d005b76a4f22056f6e;
Download	A549	CTCF	wgEncodeEH002078	1.1 MB	lab=UT-A; view=Peaks; treatment=None; antibody=CTCF; dataVersion=ENCODE Mar 2012 Freeze; controlId=wgEncodeEH002077; quality=good; tableName=wgEncodeAwgTfbsUtaA549CtcfUniPk; md5sum=e9e399f203da14d6ab9eeceb9b620c12;
Download	A549	ELF1	wgEncodeEH002289	209 KB	lab=HudsonAlpha; view=Peaks; treatment=EtOH_0.02pct; antibody=ELF1_(SC-631); dataVersion=ENCODE Mar 2012 Freeze; controlId=SL6021; quality=good; tableName=wgEncodeAwgTfbsHaibA549Elf1V0422111Etoh02UniPk; md5sum=4df9f8e1b4c6e75494df17c6f541b1db;
